src_asn,src_org,src_geo,src_port,last_seen,first_seen,l4_proto,src_ip,dst_ip,dst_asn,dst_org,dst_geo,dst_port,d2s_bytes,s2d_bytes
-1,N/A,N/A,55312,1709720666706,2024-03-06 10:24:26.681+00,TCP,192.168.100.100,172.217.161.10,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,56983,1709720674547,2024-03-06 10:24:34.541+00,TCP,192.168.100.100,52.113.194.132,8068,MICROSOFT-CORP-MSN-AS-BLOCK,N/A,443,66,60
-1,N/A,N/A,54271,1709720687523,2024-03-06 10:15:02.209+00,UDP,192.168.100.100,23.223.243.18,9498,BHARTI Airtel Ltd.,New Delhi,443,2763,3061
-1,N/A,N/A,55323,1709720666813,2024-03-06 10:24:26.806+00,TCP,192.168.100.100,99.86.47.3,16509,AMAZON-02,N/A,443,66,60
-1,N/A,N/A,64629,1709720695012,2024-03-06 10:24:16.204+00,UDP,192.168.100.100,142.250.206.162,15169,GOOGLE,N/A,443,8465,12110
-1,N/A,N/A,64118,1709720669153,2024-03-06 10:24:27.925+00,UDP,192.168.100.100,142.250.206.162,15169,GOOGLE,N/A,443,8003,5349
-1,N/A,N/A,55489,1709720671072,2024-03-06 10:24:31.064+00,TCP,192.168.100.100,142.250.194.98,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,55539,1709720670978,2024-03-06 10:24:30.971+00,TCP,192.168.100.100,18.66.78.52,16509,AMAZON-02,N/A,443,66,60
-1,N/A,N/A,52631,1709720667315,2024-03-06 10:24:26.343+00,TCP,192.168.100.100,182.161.73.145,55569,Criteo APAC,N/A,443,3747,11736
-1,N/A,N/A,59547,1709720681674,2024-03-06 10:24:41.367+00,UDP,192.168.100.100,142.250.194.131,15169,GOOGLE,N/A,443,5338,2856
-1,N/A,N/A,52633,1709720667317,2024-03-06 10:24:26.353+00,TCP,192.168.100.100,182.161.73.145,55569,Criteo APAC,N/A,443,2613,8735
-1,N/A,N/A,55403,1709720669426,2024-03-06 10:24:29.388+00,TCP,192.168.100.100,142.250.194.193,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,63700,1709720694540,2024-03-06 10:15:04.71+00,TCP,192.168.100.100,138.199.14.91,60068,Datacamp Limited,Marseille,443,6294,5940
-1,N/A,N/A,49315,1709720691280,2024-03-06 10:24:51.271+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,148,91
-1,N/A,N/A,50340,1709720690460,2024-03-06 10:24:50.449+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,123,84
-1,N/A,N/A,49274,1709720681978,2024-03-06 10:24:19.478+00,UDP,192.168.100.100,104.18.24.173,13335,CLOUDFLARENET,N/A,443,7858,8279
-1,N/A,N/A,56975,1709720675177,2024-03-06 10:24:35.167+00,TCP,192.168.100.100,142.250.194.165,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,49832,1709720680296,2024-03-06 10:24:40.287+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,89,73
-1,N/A,N/A,52327,1709720667617,2024-03-06 10:24:27.387+00,UDP,192.168.100.100,142.250.192.196,15169,GOOGLE,N/A,443,9526,6469
-1,N/A,N/A,62055,1709720694922,2024-03-06 10:24:51.421+00,TCP,192.168.100.100,96.17.182.207,9498,BHARTI Airtel Ltd.,New Delhi,443,5217,1150
-1,N/A,N/A,52734,1709720691620,2024-03-06 10:24:41.53+00,TCP,192.168.100.100,13.228.121.57,16509,AMAZON-02,Singapore,443,8156,12350
